name,link,notes
listentothe.cloud,http://listentothe.cloud/,Airports radio transmissions
Runasradio.com,http://runasradio.com/shows,IT podcast
Getworkdonemusic.com,http://www.getworkdonemusic.com/#,electronic/trance
MusicForProgramming.net,http://musicforprogramming.net/,series of mixes for concentration/productivity
Mixcloud.com,https://www.mixcloud.com/,Platform for DJs and Radios
Jamiroquai/SoundCloud,https://soundcloud.com/radenko-zec/sets/jamiroquai-radenko,Jamiroquai playlist on SoundCloud
Github Awesome music for programming list,https://github.com/xuehu54321/awesome-music-for-programming
Pretzel,https://app.pretzel.rocks/player,Some nice retro video game music
Youtube - Amelie Lens,https://youtu.be/RcVnqFxWMDM,Electronic/Live dj set
https://asoftmurmur.com/,https://asoftmurmur.com/,
Youtube - SynthWave,https://www.youtube.com/watch?v=85bkCmaOh4o,
